title,genre
The Chronicles of Narnia: Prince Caspian,"اکشن , خانوادگی , فانتزی , ماجراجویی"
unknown,"خانوادگی , فانتزی , ماجراجویی"
White Snake 2: Green Snake,"اکشن , انیمیشن , فانتزی , ماجراجویی"
The Unforgivable,"جنایی , درام"
Hive,درام
Sooryavanshi,"اکشن , جنایی , هیجان انگیز"
Under the Shadow,"ترسناک , جنگی , درام , فانتزی , هیجان انگیز"
The Proposal,"درام , عاشقانه , کمدی"
The Body,"رازآلود , هیجان انگیز"
Dear Evan Hansen,"درام , موزیکال"
The Salvation,"اکشن , درام , هیجان انگیز , وسترن"
Rope,"جنایی , درام , رازآلود , هیجان انگیز"
Not Another Teen Movie,کمدی
Kick-Ass 2,"اکشن , جنایی , کمدی , هیجان انگیز"
Kick-Ass,"اکشن , جنایی , کمدی"
Ace Ventura: When Nature Calls,"جنایی , کمدی , ماجراجویی"
How to Be Single,"درام , عاشقانه , کمدی"
Ace Ventura: Pet Detective,کمدی
Gia,"بیوگرافی , درام , عاشقانه"
Ghostbusters,"اکشن , علمی تخیلی , فانتزی , کمدی"
Ghostbusters II,"اکشن , علمی تخیلی , فانتزی , کمدی"
Ghostbusters,"اکشن , علمی تخیلی , فانتزی , کمدی"
"Synecdoche, New York",درام
Honey 3: Dare to Dance,"آهنگ , خانوادگی , درام , عاشقانه"
Honey 2,"درام , کمدی , موزیکال"
Honey,"درام , رمانتیک , موزیکال"
Don Jon,"درام , عاشقانه , کمدی"
Dark City,"رازآلود , علمی تخیلی , فانتزی"
Battle Royale,"اکشن , درام , ماجراجویی"
The Texas Chainsaw Massacre: The Beginning,"ترسناک , هیجان انگیز"
Texas Chainsaw,"ترسناک , هیجان انگیز"
The Tourist,"اکشن , درام , رازآلود , هیجان انگیز"
The Diving Bell and the Butterfly,"بیوگرافی , درام"
The Mitchells vs the Machines,"انیمیشن , خانوادگی , علمی تخیلی , کمدی , ماجراجویی"
The Last Duel,"اکشن , تاریخی , درام , هیجان انگیز"
Dune,"اکشن , درام , علمی تخیلی , ماجراجویی"
Fever Dream,"ترسناک , درام , رازآلود , هیجان انگیز"
The Summit of the Gods,"انیمیشن , درام , رازآلود , ماجراجویی , ورزشی"
Leatherface,"ترسناک , جنایی , هیجان انگیز"
The Texas Chainsaw Massacre,"ترسناک , جنایی"
Texas Chainsaw Massacre: The Next Generation,"ترسناک , کمدی , هیجان انگیز"
Leatherface: Texas Chainsaw Massacre III,"ترسناک , هیجان انگیز"
unknown,"درام , هیجان انگیز , وسترن"
The Texas Chainsaw Massacre 2,"ترسناک , کمدی"
Castle Falls,"اکشن , درام , هیجان انگیز"
The Texas Chain Saw Massacre,ترسناک
Tomorrow Never Dies,"اکشن , ماجراجویی , هیجان انگیز"
Die Another Day,"اکشن , ماجراجویی , هیجان انگیز"
GoldenEye,"اکشن , ماجراجویی , هیجان انگیز"
Licence to Kill,"اکشن , ماجراجویی , هیجان انگیز"
Stewie Griffin: The Untold Story,"انیمیشن , کمدی , ماجراجویی"
All Hands on Deck,"درام , کمدی"
The Man Who Knew Too Much,"درام , هیجان انگیز"
unknown,"خانوادگی , عاشقانه , کمدی"
The Princess Diaries,"خانوادگی , عاشقانه , کمدی"
The Longest Ride,"درام , عاشقانه , وسترن"
of a Wimpy Kid: The Long Haul,"خانوادگی , کمدی"
unknown,"خانوادگی , کمدی"
unknown,"خانوادگی , کمدی"
Diary of a Wimpy Kid,"خانوادگی , درام , کمدی"
Better Watch Out,"ترسناک , کمدی , هیجان انگیز"
The Living Daylights,"اکشن , ماجراجویی , هیجان انگیز"
Silent Night,"ترسناک , کمدی"
EuroTrip,"کمدی , ماجراجویی"
Octopussy,"اکشن , ماجراجویی , هیجان انگیز"
For Your Eyes Only,"اکشن , ماجراجویی , هیجان انگیز"
Moonraker,"اکشن , علمی تخیلی , ماجراجویی , هیجان انگیز"
Azor,درام
The Spy Who Loved Me,"اکشن , ماجراجویی , هیجان انگیز"
The Man With The Golden Gun,"اکشن , ماجراجویی , هیجان انگیز"
Live And Let Die,"اکشن , ماجراجویی , هیجان انگیز"
On Her Majesty’s Secret Service,"اکشن , ماجراجویی , هیجان انگیز"
You Only Live Twice,"اکشن , ماجراجویی , هیجان انگیز"
Thunderball,"اکشن , ماجراجویی , هیجان انگیز"
Ron’s Gone Wrong,"انیمیشن , خانوادگی , علمی تخیلی , کمدی , ماجراجویی"
Goldfinger,"اکشن , ماجراجویی , هیجان انگیز"
From Russia With Love,"اکشن , ماجراجویی , هیجان انگیز"
Dr. No,"اکشن , ماجراجویی , هیجان انگیز"
The Butterfly Effect,"درام , علمی تخیلی , هیجان انگیز"
Spooks: The Greater Good,"اکشن , درام , هیجان انگیز"
Perfect Blue,"انیمیشن , جنایی , درام , رازآلود , هیجان انگیز"
Transcendence,"اکشن , درام , علمی تخیلی , هیجان انگیز"
Just Go with It,"عاشقانه , کمدی"
Equilibrium,"اکشن , درام , علمی تخیلی , هیجان انگیز"
The Power of the Dog,"درام , عاشقانه , وسترن"
unknown,"ماجراجویی , مستند , ورزشی"
Z for Zachariah,"درام , عاشقانه , علمی تخیلی , هیجان انگیز"
Rescue Dawn,"اکشن , بیوگرافی , جنگی , درام , هیجان انگیز"
Need for Speed,"اکشن , جنایی , هیجان انگیز"
Mr. Brooks,"جنایی , درام , هیجان انگیز"
Bicentennial Man,"درام , علمی تخیلی , کمدی"
Gone in Sixty Seconds,"اکشن , جنایی , هیجان انگیز"
A Streetcar Named Desire,درام
Goodnight Mommy,"ترسناک , رازآلود , هیجان انگیز"
8-Bit Christmas,"خانوادگی , فانتزی , کمدی"
Coco Before Chanel,"بیوگرافی , درام"
Army of Shadows,"جنگی , درام"
Jack Reacher: Never Go Back,"اکشن , جنایی , هیجان انگیز"
Heart of Champions,"درام , ورزشی"
The LEGO Batman Movie,"اکشن , انیمیشن , خانوادگی , علمی تخیلی , فانتزی , کمدی , ماجراجویی"
Jack Reacher,"اکشن , هیجان انگیز"
Night at the Museum: Secret of the Tomb,"خانوادگی , فانتزی , کمدی , ماجراجویی"
Night at the Museum: Battle of the Smithsonian,"خانوادگی , فانتزی , کمدی , ماجراجویی"
The Dressmaker,"درام , کمدی"
Night at the Museum,"خانوادگی , فانتزی , کمدی , ماجراجویی"
The Bad Batch,"اکشن , ترسناک , رازآلود , عاشقانه , علمی تخیلی"
Security,"اکشن , جنایی , هیجان انگیز"
Hancock,"اکشن , درام , فانتزی"
Charlie and the Chocolate Factory,"خانوادگی , فانتزی , کمدی , ماجراجویی , موزیکال"
Bruce Almighty,"فانتزی , کمدی"
Yes Man,"عاشقانه , کمدی"
Wanted,"اکشن , جنایی , هیجان انگیز"
Tropic Thunder,"اکشن , جنگی , کمدی"
Rocks,درام
The Piano,"آهنگ , درام , عاشقانه"
The Weather Man,"درام , کمدی"
My Fair Lady,"خانوادگی , درام , عاشقانه , موزیکال"
Indecent Proposal,"درام , عاشقانه"
I Am Sam,درام
Hunger,"بیوگرافی , جنایی , درام , هیجان انگیز"
The Humans,درام
The Lucky One,"جنگی , درام , رازآلود , عاشقانه"
The Eyes of Tammy Faye,"بیوگرافی , تاریخی , درام"
unknown,"خانوادگی , درام , عاشقانه , کمدی"
City of Angels,"درام , عاشقانه , فانتزی"
All the President’s Men,"تاریخی , درام , هیجان انگیز"
Unclenching the Fists,درام
Adaptation,"درام , کمدی"
Scary Movie 5,کمدی
Scary Movie 4,کمدی
Scary Movie 3,کمدی
Scary Movie 2,کمدی
Scary Movie,کمدی
Personal Shopper,"رازآلود , هیجان انگیز"
Le Samourai,"جنایی , درام"
Finding Neverland,"بیوگرافی , خانوادگی , درام"
Violet Evergarden: The Movie,"انیمیشن , درام , عاشقانه , فانتزی"
The Straight Story,"بیوگرافی , درام"
Who Am I,"جنایی , درام , رازآلود , علمی تخیلی , هیجان انگیز"
We’re the Millers,"جنایی , کمدی"
The Outlaws,"اکشن , جنایی , هیجان انگیز"
Memoirs of a Geisha,"درام , عاشقانه"
Jarhead,"اکشن , بیوگرافی , جنگی , درام"
Hot Fuzz,"اکشن , رازآلود , کمدی , هیجان انگیز"
Robin Robin,"انیمیشن , خانوادگی , کمدی , ماجراجویی , موزیکال"
Gone Baby Gone,"جنایی , درام , رازآلود , هیجان انگیز"
Annie Hall,"عاشقانه , کمدی"
The Edge of Seventeen,"درام , کمدی"
The Death Of Stalin,"تاریخی , درام , کمدی"
Matchstick Men,"جنایی , درام , کمدی , هیجان انگیز"
Master and Commander: The Far Side of the World,"اکشن , جنگی , درام , ماجراجویی"
Black Friday,"ترسناک , کمدی"
Carrie,"ترسناک , درام"
Carlito’s Way,"جنایی , درام , هیجان انگیز"
National Treasure: Book of Secrets,"اکشن , رازآلود , ماجراجویی , هیجان انگیز"
National Treasure,"اکشن , رازآلود , ماجراجویی , هیجان انگیز"
Anchorman 2: The Legend Continues,کمدی
Anchorman: The Legend of Ron Burgundy,کمدی
Venom: Let There Be Carnage,"اکشن , علمی تخیلی , ماجراجویی , هیجان انگیز"
Hannibal Rising,"جنایی , جنگی , درام , ماجراجویی , هیجان انگیز"
Red Dragon,"جنایی , درام , هیجان انگیز"
Hannibal,"جنایی , درام , هیجان انگیز"
The Rainmaker,"جنایی , درام , هیجان انگیز"
Clueless,"عاشقانه , کمدی"
A Few Good Men,"درام , هیجان انگیز"
The Cloverfield Paradox,"اکشن , ترسناک , علمی تخیلی , هیجان انگیز"
10 Cloverfield Lane,"اکشن , ترسناک , درام , علمی تخیلی , هیجان انگیز"
Cloverfield,"اکشن , ترسناک , علمی تخیلی , هیجان انگیز"
The Feast,"ترسناک , رازآلود , هیجان انگیز"
The Lincoln Lawyer,"جنایی , درام , رازآلود , هیجان انگیز"
Primal Fear,"جنایی , درام , رازآلود , هیجان انگیز"
Pineapple Express,"اکشن , جنایی , کمدی"
Paranoia,"درام , هیجان انگیز"
Never Back Down,"اکشن , درام , ورزشی"
Face/Off,"اکشن , جنایی , علمی تخیلی , هیجان انگیز"
Breakfast at Tiffany’s,"درام , عاشقانه , کمدی"
Tick Tick… Boom!,"بیوگرافی , درام , موزیکال"
Analyze That,"جنایی , کمدی"
10000 BC,"اکشن , تاریخی , درام , فانتزی , ماجراجویی"
3 Days to Kill,"اکشن , درام , هیجان انگیز"
Flee,"انیمیشن , مستند"
I Never Cry,"درام , کمدی"
Van Helsing,"اکشن , فانتزی , ماجراجویی , هیجان انگیز"
The Last of the Mohicans,"اکشن , جنگی , درام , عاشقانه , ماجراجویی"
The English Patient,"جنگی , درام , عاشقانه"
Teenage Mutant Ninja Turtles: Out of the Shadows,"اکشن , انیمیشن , علمی تخیلی , کمدی , ماجراجویی"
Teenage Mutant Ninja Turtles,"اکشن , انیمیشن , علمی تخیلی , کمدی , ماجراجویی"
Prince of Persia: The Sands of Time,"اکشن , فانتزی , ماجراجویی"
Inside Llewyn Davis,"آهنگ , درام , کمدی"
Corpse Bride,"انیمیشن , خانوادگی , درام , عاشقانه , فانتزی , موزیکال"
Zeros and Ones,"اکشن , جنگی , درام , ماجراجویی , هیجان انگیز"
Blue Velvet,"درام , رازآلود , هیجان انگیز"
Adele One Night Only,"reality-tv , Talk-Show , آهنگ , تاریخی , مستند"
Last Night in Soho,"ترسناک , درام , رازآلود , هیجان انگیز"
Scream 4,"ترسناک , رازآلود"
Scream 3,"ترسناک , رازآلود"
Scream 2,"ترسناک , رازآلود"
Scream,"ترسناک , رازآلود"
The Losers,"اکشن , جنایی , رازآلود , ماجراجویی , هیجان انگیز"
The Duchess,"بیوگرافی , تاریخی , درام , عاشقانه"
The Thin Red Line,"تاریخی , جنگی , درام"
Stoker,"درام , رازآلود , هیجان انگیز"
Enemy At The Gates,"تاریخی , جنگی , درام"
unknown,"ترسناک , هیجان انگیز"
The Breakfast Club,"درام , کمدی"
Love Actually,"درام , عاشقانه , کمدی"
Daddy’s Home 2,کمدی
Boyhood,درام
Black Hawk Down,"تاریخی , جنگی , درام"
50/50,"درام , عاشقانه , کمدی"
50 First Dates,"درام , عاشقانه , کمدی"
Motherly,"ترسناک , هیجان انگیز"
unknown,"ترسناک , کمدی , هیجان انگیز"
Caveat,"ترسناک , هیجان انگیز"
The Two Faces of January,"عاشقانه , هیجان انگیز"
The Best Offer,"جنایی , درام , رازآلود , عاشقانه"
Swiss Army Man,"درام , عاشقانه , فانتزی , کمدی"
In Bruges,"جنایی , درام , کمدی , هیجان انگیز"
Green Zone,"اکشن , جنگی , درام , هیجان انگیز"
Faster,"اکشن , جنایی , درام , هیجان انگیز"
District 9,"اکشن , علمی تخیلی , هیجان انگیز"
Blood Diamond,"درام , ماجراجویی , هیجان انگیز"
The Legend of Hercules,"اکشن , فانتزی , ماجراجویی"
Superbad,کمدی
Public Enemies,"اکشن , بیوگرافی , تاریخی , جنایی , درام"
Hercules,"اکشن , فانتزی , ماجراجویی"
Dracula Untold,"اکشن , ترسناک , جنگی , درام , فانتزی"
Demolition,"درام , کمدی"
Daddy’s Home,"خانوادگی , کمدی"
Before I Fall,"درام , رازآلود , فانتزی"
After Love,درام
White House Down,"اکشن , درام , هیجان انگیز"
War Dogs,"بیوگرافی , جنایی , جنگی , درام , کمدی"
The Zookeeper’s Wife,"بیوگرافی , تاریخی , جنگی , درام"
The Wall,"اکشن , جنگی , درام , هیجان انگیز"
My Cousin Rachel,"درام , رازآلود , عاشقانه , هیجان انگیز"
It Comes at Night,"ترسناک , رازآلود , علمی تخیلی , هیجان انگیز"
Going in Style,"جنایی , کمدی"
CHIPS,"اکشن , جنایی , کمدی"
Blade Of The Immortal,"اکشن , درام , فانتزی"
What Happened to Monday,"اکشن , جنایی , رازآلود , علمی تخیلی , فانتزی , هیجان انگیز"
Valerian and the City of a Thousand Planets,"اکشن , علمی تخیلی , فانتزی , ماجراجویی"
Unicorn Store,"درام , فانتزی , کمدی"
Ciao Alberto,"انیمیشن , خانوادگی , کمدی"
The Words,"درام , رازآلود , عاشقانه , هیجان انگیز"
The Foreigner,"اکشن , هیجان انگیز"
The Dark Tower,"اکشن , علمی تخیلی , فانتزی , ماجراجویی , وسترن"
The Beguiled,"جنگی , درام , هیجان انگیز"
Thank You for Your Service,"بیوگرافی , جنگی , درام"
Rough Night,"جنایی , کمدی , هیجان انگیز"
Overdrive,"اکشن , جنایی , ماجراجویی , هیجان انگیز"
Kiss Kiss Bang Bang,"جنایی , رازآلود , کمدی , هیجان انگیز"
Goodbye Christopher Robin,"بیوگرافی , خانوادگی , درام"
Apex,"اکشن , هیجان انگیز"
Death Note,"اکشن , ترسناک , جنایی , درام , فانتزی , هیجان انگیز"
Red Notice,"اکشن , جنایی , کمدی , هیجان انگیز"
American Made,"اکشن , جنایی , درام , کمدی"
Warcraft,"اکشن , جنگی , فانتزی , ماجراجویی"
The Legend of Tarzan,"اکشن , درام , عاشقانه , فانتزی , ماجراجویی"
Central Intelligence,"اکشن , جنایی , کمدی"
500 Days of Summer,"درام , عاشقانه , کمدی"
Home Sweet Home Alone,"اکشن , خانوادگی , کمدی"
The Intern,"درام , کمدی"
The Wailing,"ترسناک , رازآلود , هیجان انگیز"
Stronger,"بیوگرافی , درام"
Benedetta,"بیوگرافی , تاریخی , درام , عاشقانه"
Project Almanac,"درام , رازآلود , علمی تخیلی , هیجان انگیز"
The Girl and the Spider,درام
Gods of Egypt,"اکشن , فانتزی , ماجراجویی"
Geostorm,"اکشن , علمی تخیلی , هیجان انگیز"
Dracula,"ترسناک , فانتزی"
Detachment,درام
13 Hours: The Secret Soldiers of Benghazi,"اکشن , تاریخی , جنگی , درام , هیجان انگیز"
The Glass Castle,"بیوگرافی , درام"
The Cabin In The Woods,"ترسناک , رازآلود , هیجان انگیز"
The Nice Guys,"اکشن , جنایی , کمدی , هیجان انگیز"
The Mountain Between Us,"اکشن , درام , عاشقانه , ماجراجویی , هیجان انگیز"
The BFG,"خانوادگی , فانتزی , ماجراجویی"
Justice League,"اکشن , علمی تخیلی , فانتزی , ماجراجویی"
Funny Games,"جنایی , درام , هیجان انگیز"
Acts of Vengeance,"اکشن , درام , هیجان انگیز"
Passing,درام
Nine Days,"درام , فانتزی"
Clifford the Big Red Dog,"انیمیشن , خانوادگی , فانتزی , کمدی , ماجراجویی"
One Shot,"اکشن , هیجان انگیز"
Love Hard,"عاشقانه , کمدی"
Dangerous,"اکشن , هیجان انگیز"
The Fountain,"درام , رازآلود , عاشقانه , علمی تخیلی"
The Holiday,"عاشقانه , کمدی"
The Devils Double,"بیوگرافی , درام , هیجان انگیز"
Power Rangers,"اکشن , علمی تخیلی , ماجراجویی"
Chocolat,"درام , عاشقانه"
Burn After Reading,"جنایی , درام , کمدی , هیجان انگیز"
Big Fish,"درام , عاشقانه , فانتزی , ماجراجویی"
Being John Malkovich,"درام , فانتزی , کمدی"
Battleship,"اکشن , علمی تخیلی , ماجراجویی , هیجان انگیز"
The Electrical Life of Louis Wain,"بیوگرافی , تاریخی , درام"
Jason Bourne,"اکشن , هیجان انگیز"
The Bourne Legacy,"اکشن , ماجراجویی , هیجان انگیز"
The Bourne Ultimatum,"اکشن , رازآلود , ماجراجویی , هیجان انگیز"
The Bourne Supremacy,"اکشن , رازآلود , هیجان انگیز"
The Bourne Identity,"اکشن , رازآلود , هیجان انگیز"
Finch,"درام , علمی تخیلی"
Mechanic: Resurrection,"اکشن , جنایی , ماجراجویی , هیجان انگیز"
The Mechanic,"اکشن , جنایی , هیجان انگیز"
Kingdom of Heaven,"اکشن , تاریخی , جنگی , درام , ماجراجویی"
The Interview,"اکشن , کمدی , ماجراجویی"
Revolutionary Road,"درام , عاشقانه"
Dog Day Afternoon,"بیوگرافی , جنایی , درام , هیجان انگیز"
The Harder They Fall,"درام , وسترن"
War of the Worlds,"اکشن , علمی تخیلی , ماجراجویی"
The Wrestler,"درام , ورزشی"
Paddington 2,"انیمیشن , خانوادگی , فانتزی , کمدی , ماجراجویی"
Bright,"اکشن , فانتزی , هیجان انگیز"
This Means War,"اکشن , عاشقانه , کمدی"
The Island,"اکشن , علمی تخیلی , هیجان انگیز"
Paddington,"انیمیشن , خانوادگی , فانتزی , کمدی , ماجراجویی"
The A-Team,"اکشن , ماجراجویی , هیجان انگیز"
Ghost Rider Spirit Of Vengeance,"اکشن , فانتزی , هیجان انگیز"
Flag Day,درام
Jackie,"بیوگرافی , درام"
I Origins,"درام , رازآلود , عاشقانه , علمی تخیلی"
I Am Number Four,"اکشن , علمی تخیلی , ماجراجویی , هیجان انگیز"
Ghost Rider,"اکشن , فانتزی , هیجان انگیز"
Child 44,"تاریخی , جنایی , درام , رازآلود , هیجان انگیز"
Brokeback Mountain,"درام , عاشقانه"
Blue Valentine,"درام , عاشقانه"
Cape Fear,"جنایی , هیجان انگیز"
The Illusionist,"درام , رازآلود , عاشقانه , فانتزی , هیجان انگیز"
The Gift,"درام , رازآلود , هیجان انگیز"
The Killing of a Sacred Deer,"ترسناک , درام , رازآلود , هیجان انگیز"
Project X,کمدی
A.I.Artificial Intelligence,"درام , علمی تخیلی"
Up For Love,"عاشقانه , کمدی"
Serendipity,"عاشقانه , کمدی"
Moulin Rouge,"درام , عاشقانه , موزیکال"
Lost in Translation,"درام , کمدی"
Brothers,"اکشن , جنگی , درام , هیجان انگیز"
Before the Devil Knows Youre Dead,"جنایی , درام , هیجان انگیز"
Little Miss Sunshine,"درام , کمدی"
28 Weeks Later,"ترسناک , علمی تخیلی"
28 Days Later,"ترسناک , درام , علمی تخیلی , هیجان انگیز"
Bastille Day,"اکشن , جنایی , درام , هیجان انگیز"
Anthropoid,"اکشن , بیوگرافی , تاریخی , جنگی , درام , عاشقانه , هیجان انگیز"
We Bought a Zoo,"خانوادگی , درام , کمدی"
Phantom Thread,"درام , عاشقانه"
Montage,"درام , هیجان انگیز"
Into the Woods,"درام , فانتزی , کمدی , ماجراجویی , موزیکال"
Gifted,درام
Begin Again,"آهنگ , درام , عاشقانه , کمدی"
2012,"اکشن , علمی تخیلی , ماجراجویی"
The Rum Diary,"درام , کمدی"
The 5th Wave,"اکشن , علمی تخیلی , ماجراجویی , هیجان انگیز"
Sleepy Hollow,"ترسناک , رازآلود , فانتزی"
Knocking,"ترسناک , هیجان انگیز"
Raging Fire,"اکشن , جنایی , رازآلود , ماجراجویی , هیجان انگیز"
Army of Thieves,"اکشن , ترسناک , جنایی , عاشقانه , کمدی , هیجان انگیز"
Unknown,"اکشن , رازآلود , هیجان انگیز"
The Secret Life of Walter Mitty,"درام , عاشقانه , فانتزی , کمدی , ماجراجویی"
My Life Without Me,"درام , عاشقانه"
My Left Foot,"بیوگرافی , درام"
Kingsman: The Golden Circle,"اکشن , جنایی , کمدی , ماجراجویی , هیجان انگیز"
Kingsman The Secret Service,"اکشن , کمدی , ماجراجویی , هیجان انگیز"
Capote,"بیوگرافی , تاریخی , جنایی , درام"
Lady Bloodfight,"اکشن , جنایی , درام , هیجان انگیز"
Paranormal Activity: Next of Kin,"ترسناک , رازآلود , هیجان انگیز"
The Machinist,"درام , هیجان انگیز"
Signs,"درام , رازآلود , علمی تخیلی , هیجان انگیز"
Misery,"درام , هیجان انگیز"
Match Point,"درام , عاشقانه , هیجان انگیز"
Munich,"اکشن , تاریخی , درام , هیجان انگیز"
unknown,"ترسناک , درام , رازآلود"
Hypnotic,"ترسناک , درام , رازآلود , هیجان انگیز"
The Next Three Days,"اکشن , جنایی , درام , عاشقانه , هیجان انگیز"
Sweet November,"درام , عاشقانه"
Joy,"بیوگرافی , درام"
Headhunters,"اکشن , جنایی , هیجان انگیز"
Groundhog Day,"عاشقانه , فانتزی , کمدی"
Dumb and Dumber To,کمدی
The Forgotten Battle,"جنگی , درام"
Never Gonna Snow Again,"درام , رازآلود , کمدی"
Brimstone,"درام , رازآلود , هیجان انگیز , وسترن"
The Exorcist,ترسناک
Walk the Line,"آهنگ , بیوگرافی , درام , عاشقانه"
The Deep House,"ترسناک , درام , رازآلود , هیجان انگیز"
Mulholland Drive,"درام , رازآلود , هیجان انگیز"
Mongol: The Rise of Genghis Khan,"اکشن , بیوگرافی , تاریخی , جنگی , درام"
King Arthur Legend Of The Sword,"اکشن , درام , فانتزی , ماجراجویی"
Dumb and Dumber,کمدی
Big Eyes,"بیوگرافی , جنایی , درام , عاشقانه"
Halloween II,ترسناک
Halloween,ترسناک
H20: 20 Years Later,"ترسناک , هیجان انگیز"
Halloween 5,"ترسناک , هیجان انگیز"
III: Season of the Witch,"ترسناک , رازآلود , علمی تخیلی , هیجان انگیز"
Halloween: Resurrection,"ترسناک , هیجان انگیز"
Halloween II,Rick Rosenthal
Halloween,"ترسناک , هیجان انگیز"
The Square,"درام , کمدی"
That Awkward Moment,"عاشقانه , کمدی"
Silence,"تاریخی , درام"
Anna Karenina,"درام , عاشقانه"
The Vow,"درام , عاشقانه"
A Man Called Ove,"درام , عاشقانه , کمدی"
Inside,ترسناک
Body of Lies,"اکشن , درام , هیجان انگیز"
Eastern Promises,"اکشن , جنایی , درام , هیجان انگیز"
Enemy,"درام , رازآلود , هیجان انگیز"
Minority Report,"اکشن , جنایی , رازآلود , علمی تخیلی , هیجان انگیز"
Dancer in the Dark,"جنایی , درام , موزیکال"
PK,"درام , عاشقانه , علمی تخیلی , کمدی , موزیکال"
Black Mass,"بیوگرافی , جنایی , درام"
Allegiant,"اکشن , رازآلود , علمی تخیلی , ماجراجویی , هیجان انگیز"
Insurgent,"اکشن , علمی تخیلی , ماجراجویی , هیجان انگیز"
Total Recall,"اکشن , علمی تخیلی , ماجراجویی , هیجان انگیز"
Martyrs,pascal laugier
Divergent,"اکشن , رازآلود , علمی تخیلی , ماجراجویی"
The Judge,"جنایی , درام"
Magnolia,درام
Gold,"جنایی , درام"
Bronson,"اکشن , بیوگرافی , جنایی , درام"
This Is the End,کمدی
The Turin Horse,درام
The Grey,"اکشن , درام , ماجراجویی , هیجان انگیز"
ex machina,"درام , علمی تخیلی , هیجان انگیز"
Donnie Darko,"درام , رازآلود , علمی تخیلی , هیجان انگیز"
Best Sellers,"درام , کمدی"
sweet virginia,"اکشن , درام , هیجان انگیز"
Office Christmas Party,"Josh Gordon , Will Speck"
Noah,"اکشن , درام , ماجراجویی"
Melancholia,"درام , علمی تخیلی"
A History of Violence,"اکشن , درام , هیجان انگیز"
Chef,"درام , کمدی , ماجراجویی"
Watchmen,"اکشن , درام , رازآلود , علمی تخیلی"
The Master,درام
The Lobster,"درام , عاشقانه , علمی تخیلی , کمدی , هیجان انگیز"
Chehre,"درام , رازآلود , هیجان انگیز"
The Brothers Grimsby,"اکشن , جنایی , کمدی , ماجراجویی , هیجان انگیز"
Green Lantern,"اکشن , علمی تخیلی , ماجراجویی"
Miss Peregrines Home For Peculiar Children,"خانوادگی , درام , فانتزی , ماجراجویی , هیجان انگیز"
Collateral,"جنایی , درام , هیجان انگیز"
Batman v Superman: Dawn of Justice,"اکشن , علمی تخیلی , ماجراجویی"
Looney Tunes: Back in Action,"انیمیشن , خانوادگی , کمدی , ماجراجویی"
Sherlock Holmes A Game of Shadows,"اکشن , رازآلود , ماجراجویی"
sherlock holmes,"اکشن , رازآلود , ماجراجویی"
Night Teeth,"اکشن , ترسناک , جنایی , درام , هیجان انگیز"
The Traitor,"بیوگرافی , جنایی , درام"
unknown,"ترسناک , درام , علمی تخیلی , هیجان انگیز"
Hostage: Missing Celebrity,اکشن
Escape from Mogadishu,"اکشن , درام , هیجان انگیز"
Jungle Cruise,"اکشن , خانوادگی , فانتزی , کمدی , ماجراجویی"
Old,"درام , رازآلود , هیجان انگیز"
The Suicide Squad,"اکشن , علمی تخیلی , کمدی , ماجراجویی"
Halloween Kills,"ترسناک , هیجان انگیز"
Holy Motors,"درام , فانتزی"
Copshop,"اکشن , جنایی , هیجان انگیز"
unknown,"ترسناک , درام , فانتزی , موزیکال"
Last Man Down,اکشن
Camp X-Ray: Eine verbotene Liebe,"جنگی , درام"
Belle,"آهنگ , انیمیشن , درام , علمی تخیلی , فانتزی , ماجراجویی"
Samurai marathon,"اکشن , تاریخی , ماجراجویی"
Pagglait,"درام , کمدی"
I’m Your Man,"عاشقانه , علمی تخیلی , کمدی"
Help,درام
Blue Bayou,درام
Together,"درام , کمدی"
Old Henry,وسترن
South of Heaven,"اکشن , ترسناک , جنایی , درام , رازآلود , هیجان انگیز"
Injustice,"اکشن , انیمیشن , درام , علمی تخیلی , فانتزی , ماجراجویی"
V/H/S/94,"ترسناک , رازآلود , هیجان انگیز"
The Alpines,"ترسناک , درام , رازآلود , هیجان انگیز"
unknown,"ترسناک , هیجان انگیز"
Sunrise,"درام , عاشقانه"
Sky High,هیجان انگیز
Bo Burnham Inside,"Talk-Show , آهنگ , درام , کمدی"
The Water Man,"خانوادگی , درام , رازآلود , فانتزی , ماجراجویی , هیجان انگیز"
Berlin Alexanderplatz,درام
Collectors,"جنایی , کمدی , ماجراجویی"
The Night House,"ترسناک , رازآلود , هیجان انگیز"
Rogue Hostage,"اکشن , هیجان انگیز"
Every Time I Die,هیجان انگیز
Fried Barry,"ترسناک , علمی تخیلی , کمدی"
Goodbye Honey,هیجان انگیز
Great White,"ترسناک , هیجان انگیز"
Identifying Features,درام
The Year Earth Changed,مستند
Into the Wild,"بیوگرافی , درام , ماجراجویی"
Sir Alex Ferguson Never Give In,مستند
Jurassic Park,"علمی تخیلی , ماجراجویی , هیجان انگیز"
The Violent Heart,"درام , هیجان انگیز"
The Human Voice,درام
Casino,"جنایی , درام"
The Last Frontier,"اکشن , جنگی , درام"
The Many Saints of Newark,"جنایی , درام"
Impasse,"جنایی , درام , هیجان انگیز"
Queenpins,"جنایی , کمدی"
unknown,"اکشن , انیمیشن , ترسناک , خانوادگی , علمی تخیلی , فانتزی , کمدی , ماجراجویی"
The Lockdown Hauntings,ترسناک
The East,"جنگی , درام , هیجان انگیز"
