title,cast
RED,"bruce willis,helen mirren,morgan freeman"
Parker,"jason statham,jennifer lopez,michael chiklis"
Mud,"matthew mcconaughey,tye sheridan,Jacob Lofland"
Locke,"tom hardy,olivia colman,ruth wilson"
Free State of Jones,"matthew mcconaughey,gugu mbatha-raw,mahershala ali"
Blitz,"jason statham,paddy considine,aidan gillen"
Limbo,"Sidse Babett Knudsen,Kenneth Collard,Amir El-Masry"
We Need To Talk About Kevin,"tilda swinton,john c. reilly,Ezra Miller"
Traffic,"michael douglas,benicio del toro,catherine zeta-jones"
Serpico,"al pacino,John Randolph,Jack Kehoe"
Spy,"melissa mccarthy,rose byrne,jude law"
Safe,"jason statham,Catherine Chan,Chris Sarandon"
Poltergeist,"JoBeth Williams,craig t. nelson"
John Wick Chapter 3 Parabellum,"keanu reeves,halle berry,ian mcshane"
Homefront,"jason statham,james franco,winona ryder"
John Wick: Chapter 2,"keanu reeves,riccardo scamarcio,ian mcshane"
John Wick,"keanu reeves,michael nyqvist,alfie allen"
Lady Bird,"saoirse ronan,laurie metcalf,tracy letts"
Pig,"Nicolas Cage,alex wolff,Adam Arkin"
Hell or High Water,"chris pine,ben foster,jeff bridges"
Gravity,"sandra bullock,george clooney,ed harris"
Fury,"brad pitt,shia labeouf,logan lerman"
Escape Room: Tournament of Champions,"taylor russell,logan miller,deborah ann woll"
Don’t Breathe 2,"stephen lang,Madelyn Grace,Brendan Sexton III"
The Boss Baby: Family Business,"alec baldwin,james marsden,Amy Sedaris"
Lion,"dev patel,nicole kidman,rooney mara"
Silver Linings Playbook,"bradley cooper,jennifer lawrence,robert de niro"
World War Z,"brad pitt,mireille enos,daniella kertesz"
Empire of the Sun,"christian bale,john malkovich,Miranda Richardson"
Get Out,"daniel kaluuya,allison williams,bradley whitford"
Donnie Brasco,"al pacino,johnny depp,michael madsen"
Dirty Harry,"clint eastwood,Andrew Robinson,Harry Guardino"
A Scanner Darkly,"keanu reeves,winona ryder,robert downey jr."
Miss Stevens,"Lily Rabe,timothée chalamet,lili reinhart"
Atrangi Re,"dhanush,sara ali khan,akshay kumar"
Tomboy,"Zoé Héran,Malonn Lévana,Jeanne Disson"
The Talented Mr. Ripley,"matt damon,gwyneth paltrow,jude law"
The Golden Compass,"nicole kidman,daniel craig,Dakota Blue Richards"
Sleeping with Other People,"jason sudeikis,alison brie,Jordan Carlos"
Sleepers,"robert de niro,kevin bacon,brad pitt"
Sho ot ‘Em Up,"clive owen,monica bellucci,paul giamatti"
Man on a Ledge,"sam worthington,elizabeth banks,jamie bell"
Madame Bovary,"mia wasikowska,Rhys Ifans,Ezra Miller"
The Huntsman: Winters War,"chris hemsworth,jessica chastain,charlize theron"
Snow White and the Huntsman,"kristen stewart,chris hemsworth,charlize theron"
Horrible Bosses 2,"jason bateman,jason sudeikis,Charlie Day"
Horrible Bosses,"jason bateman,Charlie Day,jason sudeikis"
Don’t Look Up,"leonardo dicaprio,jennifer lawrence,meryl streep"
Coherence,"emily baldoni,Maury Sterling,Nicholas Brendon"
The Graduate,"dustin hoffman,Anne Bancroft,Katharine Ross"
November,"Rea Lest,Jörgen Liik,Arvo Kukumägi"
Encanto,"Stephanie Beatriz,María Cecilia Botero,john leguizamo"
C’mon C’mon,"joaquin phoenix,Gaby Hoffmann,Woody Norman"
Friday the 13th: The Final Chapter,"Erich Anderson,Judie Aronson,Peter Barton"
Freddy vs. Jason,"Robert Englund,Ken Kirzinger,Kelly Rowland"
New Nightmare,"Heather Langenkamp,Robert Englund,Jf Davis"
A Nightmare on Elm Street 4: The Dream Master,"Robert Englund,Rodney Eastman,John Beckman"
A Nightmare on Elm Street 3: Dream Warriors,"Heather Langenkamp,Robert Englund,Craig Wasson"
A Nightmare on Elm Street 2: Freddy’s Revenge,"Robert Englund,Mark Patton,Kim Myers"
A Nightmare on Elm Street,"Heather Langenkamp,johnny depp,Robert Englund"
Resident Evil: The Final Chapter,"milla jovovich,Iain Glen,Ali Larter"
Resident Evil: Retribution,"milla jovovich,Sienna Guillory,Michelle Rodriguez"
Resident Evil: Afterlife,"milla jovovich,Ali Larter,Wentworth Miller"
Resident Evil: Extinction,"milla jovovich,Ali Larter,Oded Fehr"
Resident Evil: Apocalypse,"milla jovovich,Sienna Guillory,Eric Mabius"
Resident Evil,"milla jovovich,Michelle Rodriguez,Ryan McCluskey"
Being the Ricardos,"nicole kidman,javier bardem,j.k. simmons"
In Full Bloom,"Tyler Wood,Yusuke Ogasawara,Hiroyuki Watanabe"
Resident Evil: Welcome to Raccoon City,"kaya scodelario,robbie amell,hannah john-kamen"
The Skeleton Key,"Kate Hudson,peter sarsgaard,Joy Bryant"
The Hills Have Eyes II,"Daniella Alonso,jacob vargas,Michael Bailey Smith"
The Hills Have Eyes,"Ted Levine,Kathleen Quinlan,Dan Byrd"
Only Lovers Left Alive,"tilda swinton,tom hiddleston,mia wasikowska"
Mean Girls,"Lindsay Lohan,jonathan bennett,rachel mcadams"
The Novice,"isabelle fuhrman,amy forsyth,Dilone"
Friday the 13th,"jared padalecki,Amanda Righetti,Derek Mears"
Friday the 13th Part VII: The New Blood,"Terry Kiser,Jennifer Banko,John Otrin"
Friday The 13Th Part VI: Jason Lives,"Thom Mathews,Jennifer Cooke,David Kagen"
Friday The 13Th Part III,"Dana Kimmell,Tracie Savage,Richard Brooker"
The Scary of Sixty-First,"Madeline Quinn,Betsey Brown,Stephen Gurewitz"
Friday The 13Th Part 2,"Betsy Palmer,Amy Steel,John Furey"
Friday The 13th,"Betsy Palmer,Adrienne King,Jeannine Taylor"
Drag Me to Hell,"Alison Lohman,justin long,Ruth Livier"
Step Up All In,"Ryan Guzman,Briana Evigan,Adam Sevani"
Step Up Revolution,"Kathryn McCormick,Ryan Guzman,cleopatra coleman"
Step Up 3,"Sharni Vinson,Rick Malambri,Adam Sevani"
Step Up 2: The Streets,"Robert Hoffman,Briana Evigan,Cassie Ventura"
Step Up,"channing tatum,Jenna Dewan,Damaine Radcliff"
The Punisher,"thomas jane,john travolta,samantha mathis"
Remember Me,"robert pattinson,Emilie de Ravin,Caitlyn Rund"
Mrs. Doubtfire,"robin williams,sally field,pierce brosnan"
Love Rosie,"lily collins,sam claflin,christian cooke"
Evil Dead,"jane levy,shiloh fernandez,Jessica Lucas"
The Worst Person in the World,"Renate Reinsve,anders danielsen lie,Maria Grazia Di Meo"
Evil Dead II,"Bruce Campbell,Sarah Berry,Dan Hicks"
The Evil Dead,"Bruce Campbell,Ellen Sandweiss,Richard DeManincor"
Monkey King Reborn,"Xuecen Bai,Zhongyang Baomu,Jiang Bian"
Bergman Island,"vicky krieps,tim roth,Grace Delrue"
Daredevil,"ben affleck,jennifer garner,colin farrell"
Swan Song,"mahershala ali,naomie harris,awkwafina"
Mother/Android,"chloë grace moretz,Oscar Wahlberg,raúl castillo"
I Was a Simple Man,"Steve Iwamoto,constance wu,Tim Chiou"
Petrov’s Flu,"Semyon Serzin,Chulpan Khamatova,Yuliya Peresild"
The Tsugua Diaries,"پرتغال , فرانسه"
Back to the Outback,"isla fisher,guy pearce,jacki weaver"
Unbroken,"jack o'connell,miyavi,domhnall gleeson"
The Karate Kid,"jackie chan,Jaden Smith,taraji p. henson"
The Good Shepherd,"matt damon,angelina jolie,robert de niro"
Taking Lives,"angelina jolie,ethan hawke,kiefer sutherland"
Superhero Movie,"Drake Bell,Leslie Nielsen,Sara Paxton"
Salmon Fishing in the Yemen,"Ewan McGregor,emily blunt,Amr Waked"
Lara Croft Tomb Raider: The Cradle of Life,"angelina jolie,gerard butler,Chris Barrie"
Lara Croft: Tomb Raider,"angelina jolie,jon voight,Iain Glen"
Good Luck Chuck,"dane cook,jessica alba,Dan Fogler"
"Girl, Interrupted","winona ryder,angelina jolie,Clea DuVall"
Changeling,"angelina jolie,colm feore,amy ryan"
By The Sea,"brad pitt,angelina jolie,mélanie laurent"
Beowulf,"Ray Winstone,crispin glover,angelina jolie"
Cat Run,"Paz Vega,Janet McTeer,Christopher McDonald"
The Hand of God,"Filippo Scotti,Toni Servillo,Teresa Saponangelo"
Valkyrie,"tom cruise,bill nighy,carice van houten"
The Last King of Scotland,"james mcavoy,forest whitaker,Gillian Anderson"
Spy Game,"robert redford,brad pitt,Catherine McCormack"
Nitram,"caleb landry jones,Judy Davis,anthony lapaglia"
Parallel Mothers,"penélope cruz,Rossy de Palma,Aitana Sánchez-Gijón"
The French Dispatch,"benicio del toro,adrien brody,tilda swinton"
Side Effects,"rooney mara,channing tatum,jude law"
No Time to Die,"daniel craig,Ana de Armas,rami malek"
Notting Hill,"Hugh Grant,julia roberts,Richard McCabe"
Layer Cake,"daniel craig,sienna miller,michael gambon"
Battle Los Angeles,"aaron eckhart,Michelle Rodriguez,Bridget Moynahan"
Almost Famous,"billy crudup,Patrick Fugit,Kate Hudson"
A Million Ways to Die in the West,"Seth MacFarlane,charlize theron,liam neeson"
Bruised,"halle berry,Adan Canto,Sheila Atim"
Encounter,"riz ahmed,octavia spencer,Lucian-River Chauhan"
Walking Tall,"dwayne johnson,ashley scott,johnny knoxville"
The Spectacular Now,"miles teller,shailene woodley,kyle chandler"
The Little Hours,"alison brie,dave franco,kate micucci"
The Untouchables,"kevin costner,Sean Connery,robert de niro"
The Mist,"thomas jane,marcia gay harden,laurie holden"
The Game Plan,"dwayne johnson,kyra sedgwick,Madison Pettis"
Blade: Trinity,"Wesley Snipes,Kris Kristofferson,parker posey"
Blade II,"Wesley Snipes,Kris Kristofferson,ron perlman"
Blade,"Wesley Snipes,stephen dorff,Kris Kristofferson"
"O Brother, Where Art Thou?","george clooney,john turturro,tim blake nelson"
I Am Legend,"will smith,Alice Braga,charlie tahan"
Black Snake Moan,"christina ricci,samuel l. jackson,justin timberlake"
Valhalla Rising,"mads mikkelsen,Maarten Stevenson,Alexander Morton"
Third Person,"liam neeson,mila kunis,adrien brody"
The Neon Demon,"elle fanning,christina hendricks,keanu reeves"
The Boy in the Striped Pajamas,"asa butterfield,david thewlis,rupert friend"
Graduation,"Adrian Titieni,maria dragus,Lia Bugnar"
Friends with Benefits,"mila kunis,justin timberlake,patricia clarkson"
Bridesmaids,"kristen wiig,maya rudolph,rose byrne"
The Advent Calendar,"Eugénie Derouand,Honorine Magnier,Clément Olivieri"
The Hating Game,"lucy hale,corbin bernsen,austin stowell"
And Tomorrow the Entire World,"mala emde,Noah Saavedra,Tonio Schneider"
Bad Teacher,"cameron diaz,jason segel,justin timberlake"
16 Blocks,"bruce willis,Yasiin Bey,David Morse"
The Chronicles of Narnia: The Voyage of the Dawn Treader,"ben barnes,Skandar Keynes,Georgie Henley"
The Chronicles of Narnia: Prince Caspian,"ben barnes,Skandar Keynes,Georgie Henley"
unknown,"tilda swinton,Georgie Henley,william moseley"
White Snake 2: Green Snake,"Xiaoxi Tang,Zhang Fuzheng,Zhongyang Baomu"
The Unforgivable,"sandra bullock,viola davis,vincent d'onofrio"
Hive,"Yllka Gashi,Çun Lajçi,Aurita Agushi"
Sooryavanshi,"akshay kumar,katrina kaif,ajay devgn"
Under the Shadow,"Narges Rashidi,Avin Manshadi,Bobby Naderi"
The Proposal,"sandra bullock,ryan reynolds,mary steenburgen"
The Body,"jose coronado,Hugo Silva,belén rueda"
Dear Evan Hansen,"ben platt,julianne moore,kaitlyn dever"
The Salvation,"mads mikkelsen,eva green,jeffrey dean morgan"
Rope,"James Stewart,John Dall,Farley Granger"
Not Another Teen Movie,"chyler leigh,Jaime Pressly,chris evans"
Kick-Ass 2,"aaron taylor-johnson,chloë grace moretz,Christopher Mintz-Plasse"
Kick-Ass,"aaron taylor-johnson,Nicolas Cage,chloë grace moretz"
Ace Ventura: When Nature Calls,"jim carrey,Ian McNeice,Simon Callow"
How to Be Single,"dakota johnson,rebel wilson,leslie mann"
Ace Ventura: Pet Detective,"jim carrey,Courteney Cox,Sean Young"
Gia,"angelina jolie,Faye Dunaway,elizabeth mitchell"
Ghostbusters,"melissa mccarthy,kristen wiig,Kate McKinnon"
Ghostbusters II,"bill murray,Dan Aykroyd,sigourney weaver"
Ghostbusters,"bill murray,Dan Aykroyd,sigourney weaver"
"Synecdoche, New York","philip seymour hoffman,Samantha Morton,michelle williams"
Honey 3: Dare to Dance,"Cassie Ventura,kenny wormald,Dena Kaplan"
Honey 2,"Gee Alexander,Gerry Bednob,Aaron Benjamin"
Honey,"jessica alba,Mekhi Phifer,romeo miller"
Don Jon,"joseph gordon-levitt,scarlett johansson,julianne moore"
Dark City,"Rufus Sewell,kiefer sutherland,jennifer connelly"
Battle Royale,"tatsuya fujiwara,aki maeda,Tarô Yamamoto"
The Texas Chainsaw Massacre: The Beginning,"Jordana Brewster,matt bomer,Diora Baird"
Texas Chainsaw,"alexandra daddario,Tania Raymonde,scott eastwood"
The Tourist,"johnny depp,angelina jolie,paul bettany"
The Diving Bell and the Butterfly,"Mathieu Amalric,emmanuelle seigner,Marie-Josée Croze"
The Mitchells vs the Machines,"abbi jacobson,danny mcbride,maya rudolph"
The Last Duel,"matt damon,adam driver,jodie comer"
Dune,"timothée chalamet,rebecca ferguson,zendaya"
Fever Dream,"maría valverde,jolene andersen,Dolores Fonzi"
The Summit of the Gods,"Lazare Herson-Macarel,Eric Herson-Macarel,Damien Boisseau"
Leatherface,"stephen dorff,lili taylor,Sam Strike"
The Texas Chainsaw Massacre,"jessica biel,jonathan tucker,Andrew Bryniarski"
Texas Chainsaw Massacre: The Next Generation,"renée zellweger,matthew mcconaughey,Robert Jacks"
Leatherface: Texas Chainsaw Massacre III,"Kate Hodge,Ken Foree,R.A. Mihailoff"
unknown,"clint eastwood,Dwight Yoakam,Daniel V. Graulau"
The Texas Chainsaw Massacre 2,"Dennis Hopper,Caroline Williams,Jim Siedow"
Castle Falls,"scott adkins,dolph lundgren,Jim E. Chandler"
The Texas Chain Saw Massacre,"Marilyn Burns,Edwin Neal,Allen Danziger"
Tomorrow Never Dies,"pierce brosnan,jonathan pryce,michelle yeoh"
Die Another Day,"pierce brosnan,halle berry,rosamund pike"
GoldenEye,"pierce brosnan,sean bean,Izabella Scorupco"
Licence to Kill,"timothy dalton,Robert Davi,Carey Lowell"
Stewie Griffin: The Untold Story,"Seth MacFarlane,alex borstein,seth green"
All Hands on Deck,"Eric Nantchouang,Salif Cissé,Édouard Sulpice"
The Man Who Knew Too Much,"James Stewart,Doris Day,Brenda de Banzie"
unknown,"anne hathaway,Callum Blue,julie andrews"
The Princess Diaries,"julie andrews,anne hathaway,Hector Elizondo"
The Longest Ride,"scott eastwood,Britt Robertson,Alan Alda"
of a Wimpy Kid: The Long Haul,"jason drucker,Alicia Silverstone,tom everett scott"
unknown,"Zachary Gordon,Robert Capron,Devon Bostick"
unknown,"Zachary Gordon,Devon Bostick,Robert Capron"
Diary of a Wimpy Kid,"Zachary Gordon,Robert Capron,Rachael Harris"
Better Watch Out,"Olivia DeJonge,levi miller,ed oxenbould"
The Living Daylights,"timothy dalton,Jeroen Krabbé"
Silent Night,"annabelle wallis,keira knightley,matthew goode"
EuroTrip,"Scott Mechlowicz,Jacob Pitts,Michelle Trachtenberg"
Octopussy,"Roger Moore,Maud Adams,Louis Jourdan"
For Your Eyes Only,"Roger Moore,Carole Bouquet,Topol"
Moonraker,"Roger Moore,Lois Chiles,Michael Lonsdale"
Azor,"fabrizio rongione,Stéphanie Cléau,Carmen Iriondo"
The Spy Who Loved Me,"Roger Moore,Barbara Bach,Curd Jürgens"
The Man With The Golden Gun,"Roger Moore,Christopher Lee,Britt Ekland"
Live And Let Die,"Roger Moore,Yaphet Kotto,jane seymour"
On Her Majesty’s Secret Service,"George Lazenby,Diana Rigg,Telly Savalas"
You Only Live Twice,"Sean Connery,Akiko Wakabayashi,Mie Hama"
Thunderball,"Sean Connery,Claudine Auger,Adolfo Celi"
Ron’s Gone Wrong,"jack dylan grazer,zach galifianakis,ed helms"
Goldfinger,"Sean Connery,Gert Fröbe,Honor Blackman"
From Russia With Love,"Sean Connery,Robert Shaw,Lotte Lenya"
Dr. No,"Sean Connery,Ursula Andress,Bernard Lee"
The Butterfly Effect,"Ashton Kutcher,amy smart,melora walters"
Spooks: The Greater Good,"kit harington,Peter Firth,Jennifer Ehle"
Perfect Blue,"Junko Iwao,rica matsumoto,shinpachi tsuji"
Transcendence,"johnny depp,rebecca hall,morgan freeman"
Just Go with It,"adam sandler,jennifer aniston,Brooklyn Decker"
Equilibrium,"christian bale,sean bean,emily watson"
The Power of the Dog,"benedict cumberbatch,kirsten dunst,Jesse Plemons"
unknown,"آمریکا , انگلستان , نپال"
Z for Zachariah,"آمریکا , ایسلند , سوئیس"
Rescue Dawn,"christian bale,steve zahn,Jeremy Davies"
Need for Speed,"aaron paul,dominic cooper,imogen poots"
Mr. Brooks,"kevin costner,Demi Moore,william hurt"
Bicentennial Man,"robin williams,Embeth Davidtz,sam neill"
Gone in Sixty Seconds,"Nicolas Cage,angelina jolie,Giovanni Ribisi"
A Streetcar Named Desire,"vivien leigh,marlon brando,Kim Hunter"
Goodnight Mommy,"Lukas Schwarz,Elias Schwarz,Susanne Wuest"
8-Bit Christmas,"Winslow Fegley,neil patrick harris,steve zahn"
Coco Before Chanel,"Audrey Tautou,Benoît Poelvoorde,alessandro nivola"
Army of Shadows,"Lino Ventura,Paul Meurisse,Jean-Pierre Cassel"
Jack Reacher: Never Go Back,"tom cruise,cobie smulders,aldis hodge"
Heart of Champions,"michael shannon,alexander ludwig,charles melton"
The LEGO Batman Movie,"will arnett,michael cera,rosario dawson"
Jack Reacher,"tom cruise,rosamund pike,richard jenkins"
Night at the Museum: Secret of the Tomb,"Ben Stiller,robin williams,owen wilson"
Night at the Museum: Battle of the Smithsonian,"Ben Stiller,owen wilson,amy adams"
The Dressmaker,"kate winslet,Judy Davis,liam hemsworth"
Night at the Museum,"Ben Stiller,carla gugino,ricky gervais"
The Bad Batch,"suki waterhouse,jason momoa,Jayda Fink"
Security,"antonio banderas,ben kingsley,Liam McIntyre"
Hancock,"will smith,charlize theron,jason bateman"
Charlie and the Chocolate Factory,"johnny depp,freddie highmore,David Kelly"
Bruce Almighty,"jim carrey,jennifer aniston,morgan freeman"
Yes Man,"jim carrey,Zooey Deschanel,bradley cooper"
Wanted,"angelina jolie,james mcavoy,morgan freeman"
Tropic Thunder,"Ben Stiller,jack black,robert downey jr."
Rocks,"Bukky Bakray,Kosar Ali"
The Piano,"holly hunter,Harvey Keitel,sam neill"
The Weather Man,"Nicolas Cage,hope davis,nicholas hoult"
My Fair Lady,"Audrey Hepburn,Rex Harrison,Stanley Holloway"
Indecent Proposal,"robert redford,Demi Moore,woody harrelson"
I Am Sam,"sean penn,michelle pfeiffer,dakota fanning"
Hunger,"Stuart Graham,Laine Megaw,Brian Milligan"
The Humans,"richard jenkins,Jayne Houdyshell,amy schumer"
The Lucky One,"zac efron,taylor schilling,blythe danner"
The Eyes of Tammy Faye,"jessica chastain,andrew garfield,Cherry Jones"
unknown,"vanessa hudgens,remy hii,sam palladio"
City of Angels,"Nicolas Cage,Meg Ryan,Andre Braugher"
All the President’s Men,"dustin hoffman,robert redford,Jack Warden"
Unclenching the Fists,"Milana Aguzarova,Alik Karaev,Soslan Khugaev"
Adaptation,"Nicolas Cage,meryl streep,chris cooper"
Scary Movie 5,"Simon Rex,Ashley Tisdale,Charlie Sheen"
Scary Movie 4,"anna faris,regina hall,Craig Bierko"
Scary Movie 3,"anna faris,Charlie Sheen,regina hall"
Scary Movie 2,"anna faris,marlon wayans,Antony Acker"
Scary Movie,"anna faris,Jon Abrahams,marlon wayans"
Personal Shopper,"kristen stewart,lars eidinger,sigrid bouaziz"
Le Samourai,"Alain Delon,François Périer,Nathalie Delon"
Finding Neverland,"johnny depp,kate winslet,Julie Christie"
Violet Evergarden: The Movie,"Yui Ishikawa,Daisuke Namikawa,Takehito Koyasu"
The Straight Story,"Richard Farnsworth,sissy spacek,Jane Galloway Heitz"
Who Am I,"tom schilling,Elyas M'Barek,Wotan Wilke Möhring"
We’re the Millers,"jason sudeikis,jennifer aniston,emma roberts"
The Outlaws,"Ma Dong-seok,Yoon Kyesang,Jo Jae-yoon"
Memoirs of a Geisha,"Ziyi Zhang,ken watanabe,michelle yeoh"
Jarhead,"jake gyllenhaal,jamie foxx,Lucas Black"
Hot Fuzz,"simon pegg,nick frost,martin freeman"
Robin Robin,"adeel akhtar,Gillian Anderson,bronte carmichael"
Gone Baby Gone,"morgan freeman,ed harris,casey affleck"
Annie Hall,"Woody Allen,diane keaton,Tony Roberts"
The Edge of Seventeen,"hailee steinfeld,haley lu richardson,blake jenner"
The Death Of Stalin,"steve buscemi,Simon Russell Beale,Jeffrey Tambor"
Matchstick Men,"Nicolas Cage,Alison Lohman,sam rockwell"
Master and Commander: The Far Side of the World,"russell crowe,paul bettany,Billy Boyd"
Black Friday,"Devon Sawa,Ivana Baquero,ryan lee"
Carrie,"chloë grace moretz,julianne moore,Gabriella Wilde"
Carlito’s Way,"al pacino,sean penn,Penelope Ann Miller"
National Treasure: Book of Secrets,"Nicolas Cage,diane kruger,justin bartha"
National Treasure,"Nicolas Cage,diane kruger,justin bartha"
Anchorman 2: The Legend Continues,"will ferrell,christina applegate,paul rudd"
Anchorman: The Legend of Ron Burgundy,"will ferrell,christina applegate,steve carell"
Venom: Let There Be Carnage,"tom hardy,woody harrelson,michelle williams"
Hannibal Rising,"Gaspard Ulliel,Rhys Ifans,Gong Li"
Red Dragon,"anthony hopkins,edward norton,ralph fiennes"
Hannibal,"anthony hopkins,julianne moore,gary oldman"
The Rainmaker,"matt damon,danny devito,claire danes"
Clueless,"Alicia Silverstone,Stacey Dash,Brittany Murphy"
A Few Good Men,"tom cruise,Jack Nicholson,Demi Moore"
The Cloverfield Paradox,"gugu mbatha-raw,david oyelowo,daniel brühl"
10 Cloverfield Lane,"john goodman,Mary Elizabeth Winstead,john gallagher jr."
Cloverfield,"mike vogel,Jessica Lucas,lizzy caplan"
The Feast,"Annes Elwy,Nia Roberts,Julian Lewis Jones"
The Lincoln Lawyer,"matthew mcconaughey,marisa tomei,Ryan Phillippe"
Primal Fear,"Richard Gere,laura linney,edward norton"
Pineapple Express,"seth rogen,james franco,gary cole"
Paranoia,"liam hemsworth,gary oldman,harrison ford"
Never Back Down,"Sean Faris,djimon hounsou,amber heard"
Face/Off,"john travolta,Nicolas Cage,joan allen"
Breakfast at Tiffany’s,"Audrey Hepburn,George Peppard,Patricia Neal"
Tick Tick… Boom!,"andrew garfield,alexandra shipp,Robin de Jesus"
Analyze That,"robert de niro,Billy Crystal,lisa kudrow"
10000 BC,"Camilla Belle,steven strait,Marco Khan"
3 Days to Kill,"kevin costner,hailee steinfeld,connie nielsen"
Flee,"Daniel Karimyar,Fardin Mijdzadeh,Milad Eskandari"
I Never Cry,"Zofia Stafiej,Kinga Preis,Arkadiusz Jakubik"
Van Helsing,"hugh jackman,kate beckinsale,richard roxburgh"
The Last of the Mohicans,"daniel day-lewis,Madeleine Stowe,Russell Means"
The English Patient,"ralph fiennes,juliette binoche,willem dafoe"
Teenage Mutant Ninja Turtles: Out of the Shadows,"megan fox,will arnett,tyler perry"
Teenage Mutant Ninja Turtles,"megan fox,will arnett,william fichtner"
Prince of Persia: The Sands of Time,"jake gyllenhaal,gemma arterton,ben kingsley"
Inside Llewyn Davis,"oscar isaac,carey mulligan,john goodman"
Corpse Bride,"johnny depp,helena bonham carter,emily watson"
Zeros and Ones,"ethan hawke,Valerio Mastandrea,Cristina Chiriac"
Blue Velvet,"Isabella Rossellini,kyle maclachlan,Dennis Hopper"
Adele One Night Only,"Adele,oprah winfrey,james corden"
Last Night in Soho,"thomasin mckenzie,anya taylor-joy,matt smith"
Scream 4,"neve campbell,Courteney Cox,David Arquette"
Scream 3,"David Arquette,neve campbell,Courteney Cox"
Scream 2,"neve campbell,Courteney Cox,David Arquette"
Scream,"neve campbell,Courteney Cox,David Arquette"
The Losers,"idris elba,zoe saldana,jeffrey dean morgan"
The Duchess,"keira knightley,ralph fiennes,dominic cooper"
The Thin Red Line,"jim caviezel,sean penn,Nick Nolte"
Stoker,"mia wasikowska,nicole kidman,matthew goode"
Enemy At The Gates,"jude law,ed harris,joseph fiennes"
unknown,"Julia Wieniawa-Narkiewicz,Michal Lupa,Wiktoria Gasiewska"
The Breakfast Club,"Emilio Estevez,judd nelson,molly ringwald"
Love Actually,"Hugh Grant,Martine McCutcheon,liam neeson"
Daddy’s Home 2,"will ferrell,mark wahlberg,mel gibson"
Boyhood,"ellar coltrane,patricia arquette,ethan hawke"
Black Hawk Down,"josh hartnett,Ewan McGregor,tom sizemore"
50/50,"joseph gordon-levitt,seth rogen,anna kendrick"
50 First Dates,"adam sandler,Drew Barrymore,Rob Schneider"
Motherly,"Lora Burke,Tessa Kozma,Kristen MacCulloch"
unknown,"Mateusz Wieclawek,Julia Wieniawa-Narkiewicz,Zofia Wichlacz"
Caveat,"Ben Caplan,Jonathan French,Leila Sykes"
The Two Faces of January,"viggo mortensen,kirsten dunst,oscar isaac"
The Best Offer,"geoffrey rush,jim sturgess,sylvia hoeks"
Swiss Army Man,"paul dano,Daniel Radcliffe,Mary Elizabeth Winstead"
In Bruges,"colin farrell,brendan gleeson,ciarán hinds"
Green Zone,"matt damon,Jason Isaacs,greg kinnear"
Faster,"dwayne johnson,billy bob thornton,maggie grace"
District 9,"sharlto copley,David James,Jason Cope"
Blood Diamond,"leonardo dicaprio,djimon hounsou,jennifer connelly"
The Legend of Hercules,"kellan lutz,Gaia Weiss,scott adkins"
Superbad,"michael cera,jonah hill,Christopher Mintz-Plasse"
Public Enemies,"christian bale,johnny depp,Christian Stolte"
Hercules,"dwayne johnson,john hurt,ian mcshane"
Dracula Untold,"luke evans,dominic cooper,Sarah Gadon"
Demolition,"jake gyllenhaal,naomi watts,chris cooper"
Daddy’s Home,"will ferrell,mark wahlberg,linda cardellini"
Before I Fall,"zoey deutch,Halston Sage,Cynthy Wu"
After Love,"Joanna Scanlan,Nathalie Richard,Talid Ariss"
White House Down,"channing tatum,jamie foxx,maggie gyllenhaal"
War Dogs,"jonah hill,miles teller,Steve Lantz"
The Zookeeper’s Wife,"jessica chastain,Johan Heldenbergh,daniel brühl"
The Wall,آمریکا
My Cousin Rachel,"rachel weisz,sam claflin,holliday grainger"
It Comes at Night,"joel edgerton,christopher abbott,carmen ejogo"
Going in Style,"michael caine,alan arkin,Ann-Margret"
CHIPS,"michael peña,Dax Shepard,vincent d'onofrio"
Blade Of The Immortal,"takuya kimura,hana sugisaki,sôta fukushi"
What Happened to Monday,"noomi rapace,glenn close,willem dafoe"
Valerian and the City of a Thousand Planets,"Dane DeHaan,cara delevingne,clive owen"
Unicorn Store,"brie larson,samuel l. jackson,joan cusack"
Ciao Alberto,آمریکا
The Words,"bradley cooper,dennis quaid,olivia wilde"
The Foreigner,"Katie Leung,jackie chan,Rufus Jones"
The Dark Tower,"idris elba,matthew mcconaughey,tom taylor"
The Beguiled,"nicole kidman,kirsten dunst,elle fanning"
Thank You for Your Service,"miles teller,Beulah Koale,joe cole"
Rough Night,"scarlett johansson,Kate McKinnon,zoë kravitz"
Overdrive,"scott eastwood,Freddie Thorp,Ana de Armas"
Kiss Kiss Bang Bang,"robert downey jr.,val kilmer,michelle monaghan"
Goodbye Christopher Robin,"domhnall gleeson,margot robbie,kelly macdonald"
Apex,"Neal McDonough,bruce willis,Corey Large"
Death Note,"nat wolff,lakeith stanfield,margaret qualley"
Red Notice,"dwayne johnson,ryan reynolds,gal gadot"
American Made,"tom cruise,domhnall gleeson,Sarah Wright"
Warcraft,"travis fimmel,paula patton,ben foster"
The Legend of Tarzan,"alexander skarsgård,Rory J. Saper,Christian Stevens"
Central Intelligence,"dwayne johnson,kevin hart,Danielle Nicolet"
